date,txn_type,category,brand,ad_거래액,ad_주문고객수,ep_거래액,ep_주문고객수
2025-01-01,이월,골프,DD,200627.2727272727,1.0,80872.72727272726,1.0
2025-01-01,이월,골프,DG,109090.90909090907,1.0,1565545.4545454546,6.0
2025-01-01,이월,골프,HG,519636.3636363636,3.0,509000.0,3.0
2025-01-01,이월,남성,AR,0.0,0.0,878181.8181818181,1.0
2025-01-01,이월,남성,DM,207272.7272727273,2.0,3266181.818181818,9.0
2025-01-01,이월,남성,HZ,2571854.545454545,10.0,5772381.818181818,26.0
2025-01-01,이월,남성,IE,0.0,0.0,-37545.45454545456,0.0
2025-01-01,이월,남성,IU,0.0,0.0,408636.3636363636,1.0
2025-01-01,이월,남성,JN,0.0,0.0,2310000.0,4.0
2025-01-01,이월,남성,MA,0.0,0.0,362454.5454545454,2.0
2025-01-01,이월,남성,RA,0.0,0.0,240000.0,1.0
2025-01-01,이월,남성,SP,62999.99999999999,1.0,0.0,0.0
2025-01-01,이월,남성,TN,0.0,0.0,427090.90909090906,4.0
2025-01-01,이월,남성,UR,0.0,0.0,1073545.4545454544,4.0
2025-01-01,이월,슈즈,CH,145000.0,1.0,0.0,0.0
2025-01-01,이월,슈즈,FF,58636.36363636363,1.0,402290.90909090906,4.0
2025-01-01,이월,슈즈,KN,158454.54545454544,1.0,0.0,0.0
2025-01-01,이월,슈즈,TO,40454.54545454545,1.0,45000.0,1.0
2025-01-01,이월,스포츠,RX,570909.0909090909,9.0,1056636.3636363635,19.0
2025-01-01,이월,여성,AE,0.0,0.0,470363.6363636364,4.0
2025-01-01,이월,여성,DL,0.0,0.0,5020272.727272727,6.0
2025-01-01,이월,여성,EP,0.0,0.0,0.0,0.0
2025-01-01,이월,여성,HS,1237909.0909090908,6.0,2622727.272727273,12.0
2025-01-01,이월,여성,IS,0.0,0.0,586363.6363636364,1.0
2025-01-01,이월,여성,JS,0.0,0.0,1964136.3636363635,4.0
2025-01-01,이월,여성,JW,0.0,0.0,304363.63636363635,1.0
2025-01-01,이월,여성,SI,0.0,0.0,837818.1818181818,2.0
2025-01-01,이월,여성,VA,0.0,0.0,1773818.1818181816,4.0
2025-01-01,이월,잡화,AA,0.0,0.0,252036.3636363636,1.0
2025-01-01,이월,잡화,DB,392072.7272727272,4.0,3358454.545454546,21.0
2025-01-01,이월,잡화,DC,873545.4545454544,5.0,5345436.363636363,16.0
2025-01-01,이월,잡화,HI,166909.09090909088,2.0,1183636.3636363635,6.0
2025-01-01,이월,잡화,HJ,716181.8181818181,6.0,952909.0909090908,13.0
2025-01-01,이월,잡화,JA,69818.18181818181,1.0,393054.5454545454,3.0
2025-01-01,이월,잡화,JL,47999.99999999999,1.0,69818.18181818181,1.0
2025-01-01,입점,골프,입점,502727.2727272727,6.0,5436354.545454544,35.0
2025-01-01,입점,남성,입점,107272.72727272726,1.0,2246254.5454545454,25.0
2025-01-01,입점,리빙,입점,1638636.3636363635,10.0,4824145.454545453,38.0
2025-01-01,입점,명품,입점,879545.4545454545,2.0,7107818.181818182,12.0
2025-01-01,입점,뷰티,입점,843727.2727272726,15.0,2241781.818181818,48.0
2025-01-01,입점,슈즈,입점,633636.3636363635,4.0,873090.9090909091,6.0
2025-01-01,입점,스포츠,입점,265272.72727272724,5.0,4034209.090909091,34.0
2025-01-01,입점,아웃도어,입점,22272.727272727272,1.0,1481272.7272727268,20.0
2025-01-01,입점,여성,입점,200581.81818181812,7.0,7247400.000000001,44.0
2025-01-01,입점,잡화,입점,293890.90909090906,8.0,3791936.363636363,21.0
2025-01-01,입점,키즈,입점,512818.18181818177,6.0,2061572.7272727275,20.0
2025-01-01,정상,골프,DD,170054.54545454544,1.0,272600.0,1.0
2025-01-01,정상,골프,DG,915545.4545454544,2.0,1466090.909090909,7.0
2025-01-01,정상,남성,AR,0.0,0.0,233181.81818181815,1.0
2025-01-01,정상,남성,DM,842454.5454545454,3.0,4618181.818181818,16.0
2025-01-01,정상,남성,HZ,444818.18181818177,1.0,7082181.818181817,24.0
2025-01-01,정상,남성,IE,269636.3636363636,1.0,959999.9999999998,6.0
2025-01-01,정상,남성,SP,0.0,0.0,79272.72727272726,1.0
2025-01-01,정상,남성,TN,422054.5454545454,2.0,366527.2727272727,2.0
2025-01-01,정상,남성,UR,232909.09090909088,2.0,117272.72727272726,0.0
2025-01-01,정상,뷰티,CA,89727.27272727272,3.0,0.0,0.0
2025-01-01,정상,뷰티,CB,78181.81818181818,1.0,0.0,0.0
2025-01-01,정상,슈즈,FF,142500.0,1.0,380454.5454545454,2.0
2025-01-01,정상,슈즈,KN,90000.0,0.0,99090.90909090907,1.0
2025-01-01,정상,스포츠,RX,198181.81818181815,2.0,230181.81818181815,2.0
2025-01-01,정상,여성,AE,62999.99999999999,1.0,1083045.4545454546,4.0
2025-01-01,정상,여성,DL,0.0,0.0,681.8181818183511,2.0
2025-01-01,정상,여성,HS,576636.3636363635,2.0,9245000.0,28.0
2025-01-01,정상,여성,SI,0.0,0.0,547272.7272727273,-1.0
2025-01-01,정상,여성,TU,0.0,0.0,0.0,0.0
2025-01-01,정상,여성,VA,0.0,0.0,1482181.818181818,2.0
2025-01-01,정상,잡화,AA,576909.0909090908,2.0,-325454.5454545454,-1.0
2025-01-01,정상,잡화,DB,2316345.454545454,18.0,1190490.9090909092,11.0
2025-01-01,정상,잡화,DC,901472.7272727272,4.0,2431418.1818181816,18.0
2025-01-01,정상,잡화,HI,668363.6363636364,6.0,659909.0909090909,8.0
2025-01-01,정상,잡화,HJ,224363.63636363632,3.0,534181.8181818181,7.0
2025-01-01,정상,잡화,JA,254309.0909090909,4.0,1336327.272727273,11.0
2025-01-01,정상,잡화,JL,8181.818181818184,0.0,605272.7272727272,7.0
2025-01-02,이월,골프,DG,93818.1818181817,1.0,-371000.0,1.0
2025-01-02,이월,골프,HG,0.0,0.0,-284581.8181818181,0.0
2025-01-02,이월,남성,AR,0.0,0.0,494545.4545454547,0.0
2025-01-02,이월,남성,DM,1075454.5454545454,1.0,4080754.5454545454,14.0
2025-01-02,이월,남성,HZ,3086472.7272727266,16.0,6849581.818181819,26.0
2025-01-02,이월,남성,IE,108590.90909090907,1.0,0.0,0.0
2025-01-02,이월,남성,JN,-108181.81818181812,0.0,-174090.90909090894,-1.0
2025-01-02,이월,남성,MA,0.0,0.0,80499.99999999988,0.0
2025-01-02,이월,남성,RA,0.0,0.0,-294000.0,-1.0
2025-01-02,이월,남성,SE,0.0,0.0,104727.2727272727,2.0
2025-01-02,이월,남성,TN,-26818.181818181816,-1.0,-65818.1818181818,0.0
2025-01-02,이월,남성,UR,1251636.3636363635,3.0,418727.2727272727,2.0
2025-01-02,이월,슈즈,CH,174000.0,1.0,372227.2727272727,3.0
2025-01-02,이월,슈즈,FF,199727.2727272727,2.0,278199.99999999994,3.0
2025-01-02,이월,슈즈,KN,184363.63636363635,1.0,222545.45454545453,2.0
2025-01-02,이월,슈즈,TO,58636.36363636363,1.0,121363.63636363635,1.0
2025-01-02,이월,스포츠,RX,59454.54545454545,1.0,1057999.9999999998,16.0
2025-01-02,이월,여성,AE,294545.45454545453,2.0,81363.63636363635,1.0
2025-01-02,이월,여성,CW,0.0,0.0,226818.1818181818,1.0
2025-01-02,이월,여성,DL,238636.3636363636,1.0,6524454.545454543,10.0
2025-01-02,이월,여성,EP,0.0,0.0,-172272.72727272726,-1.0
2025-01-02,이월,여성,HS,933545.4545454544,2.0,306363.63636363647,10.0
2025-01-02,이월,여성,JS,0.0,0.0,1815454.5454545452,10.0
2025-01-02,이월,여성,JW,0.0,0.0,-826636.3636363635,-2.0
2025-01-02,이월,여성,SI,0.0,0.0,-392727.2727272727,-1.0
2025-01-02,이월,여성,VA,118909.0909090909,1.0,5597454.545454545,6.0
2025-01-02,이월,여성,VC,0.0,0.0,708181.8181818181,2.0
2025-01-02,이월,잡화,AA,0.0,0.0,367600.0,2.0
2025-01-02,이월,잡화,DB,1777036.3636363633,10.0,5676927.272727273,27.0
2025-01-02,이월,잡화,DC,1018909.0909090908,5.0,5652127.2727272725,10.0
2025-01-02,이월,잡화,HI,28909.090909090908,1.0,1746054.5454545452,6.0
2025-01-02,이월,잡화,HJ,369818.18181818177,4.0,3102636.363636363,10.0
2025-01-02,이월,잡화,JA,129818.1818181818,1.0,452909.0909090909,5.0
2025-01-02,이월,잡화,JL,0.0,0.0,0.0,0.0
2025-01-02,입점,골프,입점,704636.3636363635,6.0,829272.7272727272,11.0
2025-01-02,입점,남성,입점,94772.72727272726,1.0,3296818.181818181,27.0
2025-01-02,입점,리빙,입점,401909.0909090909,2.0,3639890.9090909087,27.0
2025-01-02,입점,명품,입점,224999.99999999988,0.0,-442581.8181818191,6.0
2025-01-02,입점,뷰티,입점,513454.5454545454,7.0,1553340.9090909094,38.0
2025-01-02,입점,슈즈,입점,-27272.727272727265,0.0,58999.99999999999,2.0
2025-01-02,입점,스포츠,입점,227909.09090909088,3.0,5916999.999999999,64.0
2025-01-02,입점,아웃도어,입점,48454.545454545456,3.0,223545.4545454544,8.0
2025-01-02,입점,여성,입점,1944145.4545454548,13.0,-872781.818181818,-1.0
2025-01-02,입점,잡화,입점,226818.18181818185,5.0,2788481.818181818,8.0
2025-01-02,입점,키즈,입점,587454.5454545453,6.0,1275518.181818182,17.0
2025-01-02,정상,골프,DD,-118781.81818181818,-1.0,488345.4545454546,1.0
2025-01-02,정상,골프,DG,139090.9090909091,1.0,851818.1818181816,2.0
2025-01-02,정상,골프,HG,0.0,0.0,-162272.72727272724,-1.0
2025-01-02,정상,남성,DM,1440000.0,2.0,1734363.6363636365,6.0
2025-01-02,정상,남성,HZ,1894999.9999999995,7.0,6527545.454545454,27.0
2025-01-02,정상,남성,IE,-678999.9999999999,-1.0,-276545.45454545453,-1.0
2025-01-02,정상,남성,JN,610454.5454545454,1.0,-1874090.9090909087,1.0
2025-01-02,정상,남성,MA,0.0,0.0,216000.0,1.0
2025-01-02,정상,남성,TN,79200.0,1.0,746654.5454545454,5.0
2025-01-02,정상,남성,UR,-472000.0,-1.0,1052727.2727272727,2.0
2025-01-02,정상,뷰티,CA,18090.90909090909,1.0,0.0,0.0
2025-01-02,정상,뷰티,CB,297272.72727272724,4.0,312727.2727272727,4.0
2025-01-02,정상,슈즈,FF,225681.81818181812,2.0,261318.1818181818,3.0
2025-01-02,정상,슈즈,KN,0.0,0.0,117272.72727272726,1.0
2025-01-02,정상,스포츠,RX,-299090.90909090906,-1.0,373000.0,3.0
2025-01-02,정상,여성,AE,-292863.63636363635,-1.0,-490590.90909090906,-2.0
2025-01-02,정상,여성,DL,0.0,0.0,-3735227.272727273,1.0
2025-01-02,정상,여성,HS,275636.3636363636,1.0,-567909.0909090905,0.0
2025-01-02,정상,여성,JS,0.0,0.0,-2106363.636363636,-2.0
2025-01-02,정상,여성,VA,0.0,0.0,186000.00000000032,0.0
2025-01-02,정상,잡화,AA,0.0,0.0,0.0,0.0
2025-01-02,정상,잡화,DB,1672454.5454545456,8.0,1567363.6363636362,12.0
2025-01-02,정상,잡화,DC,199000.0,2.0,2322854.545454545,14.0
2025-01-02,정상,잡화,HI,430727.2727272727,6.0,1247363.6363636365,6.0
2025-01-02,정상,잡화,HJ,815790.909090909,10.0,360272.7272727272,2.0
2025-01-02,정상,잡화,JA,209672.7272727273,5.0,461418.1818181818,4.0
2025-01-02,정상,잡화,JL,-7727.272727272721,0.0,350909.0909090909,3.0
2025-01-03,이월,골프,DD,0.0,0.0,207509.09090909088,2.0
