date,txn_type,category,ad_거래액,ad_주문고객수,ep_거래액,ep_주문고객수
2025-01-01,이월,골프,829354.5454545454,5.0,2155418.1818181816,10.0
2025-01-01,이월,남성,2842127.272727273,13.0,14700927.272727272,49.0
2025-01-01,이월,슈즈,402545.45454545453,4.0,447290.90909090906,5.0
2025-01-01,이월,스포츠,570909.0909090908,9.0,1056636.3636363635,19.0
2025-01-01,이월,여성,1237909.0909090908,6.0,13579863.636363633,34.0
2025-01-01,이월,잡화,2266527.272727272,19.0,11555345.454545455,58.0
2025-01-01,입점,골프,502727.2727272727,6.0,5436354.545454545,35.0
2025-01-01,입점,남성,107272.72727272726,1.0,2246254.5454545454,25.0
2025-01-01,입점,리빙,1638636.3636363633,10.0,4824145.454545455,38.0
2025-01-01,입점,명품,879545.4545454545,2.0,7107818.181818182,12.0
2025-01-01,입점,뷰티,843727.2727272727,15.0,2241781.818181818,48.0
2025-01-01,입점,슈즈,633636.3636363636,4.0,873090.9090909091,6.0
2025-01-01,입점,스포츠,265272.72727272724,5.0,4034209.090909091,34.0
2025-01-01,입점,아웃도어,22272.727272727272,1.0,1481272.7272727268,20.0
2025-01-01,입점,여성,200581.81818181818,7.0,7247400.000000001,44.0
2025-01-01,입점,잡화,293890.9090909091,8.0,3791936.363636363,21.0
2025-01-01,입점,키즈,512818.18181818177,6.0,2061572.727272727,20.0
2025-01-01,정상,골프,1085600.0,3.0,1738690.909090909,8.0
2025-01-01,정상,남성,2211872.727272727,9.0,13456618.181818176,50.0
2025-01-01,정상,뷰티,167909.09090909088,4.0,0.0,0.0
2025-01-01,정상,슈즈,232500.0,1.0,479545.4545454545,3.0
2025-01-01,정상,스포츠,198181.81818181818,2.0,230181.81818181818,2.0
2025-01-01,정상,여성,639636.3636363635,3.0,12358181.818181816,35.0
2025-01-01,정상,잡화,4949945.454545454,37.0,6432145.454545454,61.0
2025-01-02,이월,골프,93818.18181818177,1.0,-655581.8181818181,1.0
2025-01-02,이월,남성,5387154.545454545,20.0,11494927.272727272,42.0
2025-01-02,이월,슈즈,616727.2727272727,5.0,994336.3636363635,9.0
2025-01-02,이월,스포츠,59454.54545454545,1.0,1058000.0,16.0
2025-01-02,이월,여성,1585636.3636363635,6.0,13868454.54545454,33.0
2025-01-02,이월,잡화,3324490.909090909,20.0,16998254.545454543,56.0
2025-01-02,입점,골프,704636.3636363635,6.0,829272.7272727273,11.0
2025-01-02,입점,남성,94772.72727272726,1.0,3296818.1818181816,27.0
2025-01-02,입점,리빙,401909.0909090909,2.0,3639890.9090909087,27.0
2025-01-02,입점,명품,224999.99999999988,0.0,-442581.8181818181,6.0
2025-01-02,입점,뷰티,513454.5454545454,7.0,1553340.909090909,38.0
2025-01-02,입점,슈즈,-27272.727272727265,0.0,59000.00000000003,2.0
2025-01-02,입점,스포츠,227909.09090909088,3.0,5917000.000000001,64.0
2025-01-02,입점,아웃도어,48454.545454545456,3.0,223545.45454545453,8.0
2025-01-02,입점,여성,1944145.4545454544,13.0,-872781.8181818186,-1.0
2025-01-02,입점,잡화,226818.18181818182,5.0,2788481.818181818,8.0
2025-01-02,입점,키즈,587454.5454545454,6.0,1275518.1818181814,17.0
2025-01-02,정상,골프,20309.09090909091,0.0,1177890.909090909,2.0
2025-01-02,정상,남성,2873654.545454545,9.0,8126654.545454546,41.0
2025-01-02,정상,뷰티,315363.63636363635,5.0,312727.2727272727,4.0
2025-01-02,정상,슈즈,225681.81818181815,2.0,378590.909090909,4.0
2025-01-02,정상,스포츠,-299090.90909090906,-1.0,373000.0,3.0
2025-01-02,정상,여성,-17227.272727272764,0.0,-6714090.909090909,-3.0
2025-01-02,정상,잡화,3319918.181818181,31.0,6310181.818181817,36.0
2025-01-03,이월,골프,209963.63636363635,2.0,2330527.2727272725,12.0
2025-01-03,이월,남성,1004727.2727272727,5.0,18210372.727272715,66.0
2025-01-03,이월,슈즈,331763.63636363635,1.0,1275672.727272727,11.0
2025-01-03,이월,스포츠,276545.4545454545,4.0,873727.2727272727,10.0
2025-01-03,이월,여성,6494636.363636362,7.0,14046518.181818178,43.0
2025-01-03,이월,잡화,3010890.9090909082,24.0,13109163.636363631,82.0
2025-01-03,입점,골프,1039363.6363636364,5.0,3433681.818181817,19.0
2025-01-03,입점,남성,333727.2727272727,3.0,2131818.1818181816,20.0
2025-01-03,입점,리빙,173454.54545454544,4.0,3959927.2727272725,35.0
2025-01-03,입점,명품,837727.2727272726,2.0,2083818.1818181826,13.0
2025-01-03,입점,뷰티,580818.1818181818,7.0,437509.09090909094,19.0
2025-01-03,입점,슈즈,579999.9999999999,3.0,368181.8181818181,3.0
2025-01-03,입점,스포츠,2097272.727272727,6.0,4194118.181818182,33.0
2025-01-03,입점,아웃도어,-34272.72727272731,-1.0,1692454.545454545,14.0
2025-01-03,입점,여성,68272.72727272726,1.0,1691254.5454545463,9.0
2025-01-03,입점,잡화,443000.0,2.0,1855409.0909090904,15.0
2025-01-03,입점,키즈,172454.54545454544,2.0,1540181.8181818181,22.0
2025-01-03,정상,골프,848454.5454545454,1.0,179863.63636363635,6.0
2025-01-03,정상,남성,1268309.0909090908,1.0,16087609.09090909,33.0
2025-01-03,정상,뷰티,262909.0909090909,4.0,-454.5454545454577,1.0
2025-01-03,정상,슈즈,155454.54545454544,2.0,332318.1818181818,7.0
2025-01-03,정상,스포츠,0.0,0.0,81818.18181818182,0.0
2025-01-03,정상,여성,1988000.0,4.0,10255363.636363633,24.0
2025-01-03,정상,잡화,2454627.2727272725,19.0,4708436.363636363,38.0
2025-01-04,이월,골프,480200.0,2.0,4650363.636363637,20.0
2025-01-04,이월,남성,3522745.4545454537,19.0,16923381.818181813,66.0
2025-01-04,이월,슈즈,569909.0909090908,5.0,530454.5454545454,4.0
2025-01-04,이월,스포츠,43090.90909090909,1.0,1277454.5454545452,18.0
2025-01-04,이월,여성,1298727.2727272725,3.0,20673227.272727266,62.0
2025-01-04,이월,잡화,3258781.818181819,19.0,12754363.636363635,70.0
2025-01-04,입점,골프,1131954.5454545454,6.0,7055672.7272727275,49.0
