ym,자사_거래액,핏플랍_거래액,자사_광고비,핏플랍_광고비,핏플랍제외_거래액,핏플랍제외_광고비
202501,498539864.0,19742582.0,60924380.0,2040240.0,478797282.0,58884140.0
202502,411730822.0,15222990.0,57284630.0,2338680.0,396507832.0,54945950.0
202503,700876200.0,27568110.0,76742470.0,3545710.0,673308090.0,73196760.0
202504,623806226.0,51320127.0,67367280.0,5938480.0,572486099.0,61428800.0
202505,781965001.0,108407691.0,80491390.0,11964850.0,673557310.0,68526540.0
202506,659995595.0,122963290.0,58859670.0,11845010.0,537032305.0,47014660.0
202507,518655375.0,85330701.0,51160230.0,11743840.0,433324674.0,39416390.0
202508,491952607.0,50825000.0,45652920.0,5993090.0,441127607.0,39659830.0
202509,764030697.0,16127654.0,64971180.0,2086610.0,747903043.0,62884570.0
202510,883817314.0,1670454.0,78908420.0,169710.0,882146860.0,78738710.0
202511,1049185977.0,0.0,79460040.0,0.0,1049185977.0,79460040.0
202512,920272505.0,0.0,73357630.0,0.0,920272505.0,73357630.0
202601,864562323.0,0.0,70000920.0,0.0,864562323.0,70000920.0
202602,662859373.0,0.0,62941470.0,0.0,662859373.0,62941470.0
202603,775458622.0,0.0,78838334.0,0.0,775458622.0,78838334.0
202604,684754426.0,0.0,73968274.0,0.0,684754426.0,73968274.0
202605,661485585.0,0.0,72168545.0,0.0,661485585.0,72168545.0
202606,649467976.0,0.0,57637907.0,0.0,649467976.0,57637907.0
202607,474357762.0,0.0,,0.0,474357762.0,
