기간_일자+요일,노출수,클릭수,CTR,CR,객단가,결제고객수,CPM,CPC,CPUV,UV,광고비,거래액,ROAS,순결제비중,거래액(총),ROAS(총),UV/클릭,CR(총),객단가(총),결제고객수(총),가입률,가입수,가입CPA,첫구매율,첫구매수,첫구매CPA,첫구매거래액,첫구매비중,신규고객수,신규거래액,신규비중,윈백고객수,윈백거래액,date
25-01-01 (수),9291844,192308,0.02069643011656244,0.010162952274901585,215623.1026234568,1296,2246.9328881328615,108.56620564407098,163.7219450369348,127522,20878149.875,279447541,13.384688905534547,0.868913506991426,321605705,15.403936983185394,0.6631133390186575,0.010429572936434497,241808.8007518797,1330,0.004752121202616019,606,34452.3925330033,0.0016154075375229373,206,101350.24211165048,48558510,0.1737661023111311,135,34861457,0.124751346443231,689,154763210,2025-01-01
25-01-02 (목),8790585,180326,0.020513538063735234,0.006880459016917458,140873.49593495936,861,2148.830495922626,104.75182239388663,150.95037538857412,125137,18889477.125,121292080,6.421145445019829,0.39088747951090563,310299220,16.427094193587955,0.6939487372869138,0.010308701662977376,240542.03100775194,1290,0.004634920127540216,580,32568.06400862069,0.0013744935550636503,172,109822.54142441861,21370929,0.17619393615807397,136,26423422,0.21784952488241607,305,43945185,2025-01-02
25-01-03 (금),8608012,176892,0.020549692542250173,0.006887253707584101,150314.96816037735,848,1991.4987984449835,96.91136713361826,139.2301021311502,123126,17142845.555,127467093,7.435585451145949,0.41470893470970605,307365196,17.929648553028688,0.6960518282341768,0.010006010103471241,249484.73701298703,1232,0.004507577603430632,555,30888.01000900901,0.0010720725110862045,132,129870.04208333333,22683342,0.17795449371391878,105,19078503,0.14967394761250263,388,49096554,2025-01-03
25-01-04 (토),8007356,193225,0.024130936603792813,0.009741771695533957,196895.6599845798,1297,2505.90671564996,103.84622680812525,150.71344901530742,133138,20065687.175,255373671,12.726883897510975,0.7072593729075504,361074990,17.99464861835712,0.6890309224996766,0.01044780603584251,259579.43206326384,1391,0.0044014481214979945,586,34241.786988054606,0.001321936637173459,176,114009.58622159091,35117934,0.13751587570670118,126,25881269,0.10134666153583233,667,139491422,2025-01-04
25-01-05 (일),8914011,203104,0.02278480473044065,0.011844157271721731,205916.42111368908,1724,2735.248938440843,120.04706517350716,167.50853016344112,145557,24382039.125,354999910,14.559894198348761,0.874615973274725,405892324,16.64718532847486,0.7166623995588467,0.011569350838503129,241028.69596199525,1684,0.0045480464697678575,662,36830.87481117825,0.0015801369910069594,230,106008.86576086956,42550114,0.11985950644325516,137,25807013,0.07269582969753428,962,221422846,2025-01-05
25-01-06 (월),9769639,184449,0.018879817360702888,0.0069287212533791715,170748.78579234972,915,2005.9261145677954,106.24711437850029,148.39711038248055,132059,19597174.0,156235139,7.97233004105592,0.49018196070934433,318728863,16.26402169006613,0.7159648466513779,0.01044230230427309,231130.4300217549,1379,0.00414966037907299,548,35761.266423357665,0.0011585730620404515,153,128086.1045751634,23170008,0.1483021562774044,142,25582977,0.16374662680717428,425,74743257,2025-01-06
25-01-07 (화),11475378,218035,0.019000245569252706,0.010229212464018242,196365.13485221675,1624,2462.635448697202,129.61071685738528,178.0013520323001,158761,28259672.65,318896979,11.28452487576851,0.6431628317724577,495826194,17.545362260238356,0.7281445639461555,0.012270015935903654,254530.90041067763,1948,0.0045225212741164394,718,39358.87555710306,0.001354236871775814,215,131440.33790697673,31253935,0.09800636900984878,159,29019206,0.0909986858169641,755,178417429,2025-01-07
25-01-08 (수),12013567,231426,0.019263720758372595,0.011224982124898999,223435.02019678924,1931,2596.295896131432,134.77644992351767,181.31325140820917,172027,31190774.7,431453024,13.832712657823148,0.7419938049480547,581477933,18.64262553889051,0.7433348024854597,0.012637551082097577,267469.15041398344,2174,0.004545798043330407,782,39885.90115089514,0.0013776907113418242,237,131606.64430379745,34173154,0.07920480816933619,161,24627935,0.05708138228276736,1062,267657909,2025-01-08
25-01-09 (목),9745552,198218,0.020339330188787665,0.008426596445029624,162623.66200657896,1216,2200.96304755236,108.2121695809664,148.64072506150166,144305,21449599.83,197750373,9.219303603203866,0.5758103436476529,343429699,16.011007278544646,0.7280115832063687,0.010962891098714529,217085.7768647282,1582,0.004275666123834933,617,34764.34332252836,0.001261217560029105,182,117854.94412087911,27951197,0.14134586234130644,144,22577900,0.11417374165964278,619,95985751,2025-01-09
25-01-10 (금),9068350,191502,0.021117623382423484,0.00799928498011351,171832.3398510242,1074,2247.5291673788506,106.4290771114662,151.8030501929064,134262,20381381.125,184547933,9.054731466339723,0.5625423841416809,328060495,16.096087551083464,0.7010997274179904,0.010516750830465806,232337.46104815864,1412,0.0037985431469812754,510,39963.492401960786,0.0009831523439245654,132,154404.40246212122,25132326,0.1361831887870562,111,22857400,0.12385616911786274,575,95978506,2025-01-10
